Audi A1,"11,18%"
Audi A3,"8,57%"
Audi A4,"8,57%"
Audi Q3,"6,49%"
BMW 3-series,"9,69%"
BMW X1,"8,87%"
Chery Tiggo/T11/T21,"11,33%"
Chevrolet Aveo,"13,39%"
Chevrolet Captiva,"6,56%"
Chevrolet Cobalt,"14,03%"
Chevrolet Cruze,"10,58%"
Chevrolet Lacetti/Klan,"13,06%"
Chevrolet Niva,"4,86%"
Chevrolet Orlando,"7,83%"
Citroen C4,"10,47%"
Daewoo Nexia,"13,49%"
Ford Focus,"9,18%"
Ford Kuga,"5,37%"
Ford Mondeo,"10,44%"
Great Wall Hover,"5,40%"
Honda CR-V,"7,08%"
Hyundai Elantra,"11,87%"
Hyundai i30,"8,85%"
Hyundai i40,"8,95%"
Hyundai ix35,"5,59%"
Hyundai Santa Fe,"5,22%"
Hyundai Solaris,"9,18%"
Kia Ceed,"8,10%"
Kia Cerato,"9,18%"
Kia Optima,"8,95%"
Kia Picanto,"10,26%"
Kia Rio,"9,18%"
Kia Sorento,"4,77%"
Kia Soul,"8,31%"
Kia Sportage,"6,11%"
Land Rover Freelander,"6,49%"
Lexus IS*,"9,91%"
Lifan 215800/X60,"8,64%"
Mazda 3*,"18,35%"
Mazda 6*,"11,18%"
Mazda CX-5,"7,08%"
Mazda CX-7*,"9,32%"
Mercedes-Benz A-Klasse,"10,44%"
Mercedes-Benz C-Klasse,"10,44%"
Mercedes-Benz CLA-Klasse,"7,45%"
Mitsubishi ASX,"11,18%"
Mitsubishi Outlander,"10,06%"
Mitsubishi Pajero Sport,"7,83%"
Nissan Almera,"10,26%"
Nissan Juke,"6,48%"
Nissan Note,"10,47%"
Nissan Qashqai,"5,89%"
Nissan Teana*,"10,44%"
Nissan Terrano,"7,60%"
Nissan Tiida,"11,87%"
Nissan X-Trail,"5,22%"
Opel Antara,"6,93%"
Opel Astra,"12,41%"
Opel Corsa,"12,95%"
Opel Insignia,"8,95%"
Opel Mokka,"6,58%"
Opel Zafira,"8,87%"
Peugeot 308,"9,50%"
Peugeot 408,"10,58%"
Renault Duster,"6,69%"
Renault Fluence,"12,41%"
Renault Logan/SR,"11,12%"
Renault Megane,"11,33%"
Renault Sandero/SR,"8,64%"
Seat Leon,"10,36%"
Skoda Fabia,"11,01%"
Skoda Octavia,"8,57%"
Skoda Rapid,"11,33%"
Skoda Superb,"7,53%"
Skoda Yeti,"6,11%"
SsangYong Actyon,"8,13%"
SsangYong Kyron,"7,83%"
Subaru Forester,"9,09%"
Subaru Outback/Legacy Outback,"8,13%"
Suzuki Grand Vitara,"7,98%"
Suzuki SX4,"7,56%"
Toyota Auris,"15,11%"
Toyota Camry*,"12,82%"
Toyota Corolla,"13,71%"
Toyota RAV 4*,"8,80%"
Toyota Venza,"7,45%"
Toyota Verso,"9,77%"
Volkswagen Golf,"8,27%"
Volkswagen Jetta,"9,99%"
Volkswagen Passat,"8,95%"
Volkswagen Polo,"11,98%"
Volkswagen Tiguan,"5,96%"
Volvo XC60,"5,22%"
Volvo S60,"8,05%"
ВАЗ/Lada 2114,"11,69%"
ВАЗ/Lada 2131(Lada 2121)/Нива,"3,97%"
ВАЗ/Granta,"12,23%"
ВАЗ/Lada Largus,"8,41%"
УАЗ Patriot,"6,25%"
